Rank,TeamName,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
242,Montana St.,BSky,16-16,-6.71,103,109.7,68.9,-0.025,-6.63,103.3,109.9,-2.62
243,Cleveland St.,Horz,9-22,-6.81,96.4,103.2,65,-0.09,-0.97,104.8,105.7,5.15
244,Portland St.,BSky,15-16,-6.82,104.2,111.1,72.3,-0.057,-6.54,101.7,108.3,-0.08
245,Illinois Chicago,Horz,15-18,-6.93,100.9,107.8,71.4,-0.002,-4.04,101.6,105.7,-5.14
246,Wagner,NEC,16-14,-7.12,101,108.1,62.6,-0.024,-8.81,98.7,107.5,-0.73
247,Drexel,CAA,9-23,-7.15,102.9,110,70,-0.089,-0.96,104.6,105.5,-3.6
248,Bowling Green,MAC,13-19,-7.21,100,107.3,69.6,0.01,-1.6,103.8,105.4,-5.99
249,UNLV,MWC,11-21,-7.27,98.1,105.4,68,-0.007,0.94,105,104.1,-4
250,Kennesaw St.,ASun,14-18,-7.28,102.6,109.9,69.1,0,-4.29,103.8,108.1,-3.1
251,Loyola MD,Pat,15-16,-7.31,98.6,105.9,65.2,0.079,-3.71,101.5,105.3,0.54
252,UTSA,CUSA,14-19,-7.55,95.1,102.6,67.7,0.016,-2.7,102.7,105.4,-1.13
253,North Florida,ASun,15-19,-7.57,101.8,109.4,69.6,0.025,-0.17,106,106.1,6.86
254,LIU Brooklyn,NEC,20-12,-7.65,100.1,107.7,66.6,0.081,-9.54,98.6,108.2,-5.14
255,St. Francis PA,NEC,16-16,-7.92,102,110,69.7,-0.007,-8.32,99.5,107.8,-0.91
256,San Diego,WCC,13-18,-8.09,100.2,108.3,63,0.058,-0.35,104.1,104.5,-6.54
257,Tennessee Tech,OVC,12-20,-8.12,98.9,107,67.9,-0.058,-3.14,103.5,106.6,-2.4
258,Niagara,MAAC,10-23,-8.14,101.2,109.4,68.7,-0.067,-3.57,102.9,106.4,-4.44
259,Louisiana Monroe,SB,9-24,-8.17,98.4,106.5,64.7,-0.116,-0.89,103.9,104.8,-3.28
260,Drake,MVC,7-24,-8.2,103,111.2,69.1,-0.083,1.19,104.1,102.9,-3.42
261,Milwaukee,Horz,11-24,-8.53,99.8,108.4,62.2,-0.023,-1.29,104.1,105.4,2.37
262,Cal St. Fullerton,BW,17-14,-8.54,97,105.5,68.2,0.034,-8.82,99.7,108.5,-7.89
263,Cornell,Ivy,8-21,-8.67,99.7,108.4,69.3,-0.032,-0.21,105.3,105.5,1.94
264,Oregon St.,P12,5-27,-8.86,97,105.8,64.1,-0.067,5.99,108.1,102.1,-4.82
265,Robert Morris,NEC,14-19,-8.89,91.6,100.5,68.4,0.032,-5.24,101.1,106.4,4.17
266,Fairleigh Dickinson,NEC,11-19,-8.97,102.9,111.9,68.7,-0.051,-4.93,100.5,105.4,7.76
267,Hawaii,BW,14-16,-9.02,97,106,66.8,-0.012,-7.96,99.3,107.2,-5.44
268,Appalachian St.,SB,9-21,-9.12,99.6,108.7,70.2,-0.039,0.01,104.3,104.3,0
269,Colgate,Pat,10-22,-9.13,98.5,107.6,64.7,-0.013,-2.82,102.5,105.3,-0.55
270,High Point,BSth,15-16,-9.16,98.9,108.1,65.3,-0.004,-6.09,101.1,107.2,0.27
271,Jacksonville,ASun,17-15,-9.23,102.6,111.8,67.4,0.017,-7.2,102.7,109.9,-8.79
